date,price,price_high,price_low,price_open,volume,vol,RSI_7,EMA_50,open,high,low,close
2017-10-28 09:00:00,5728.731366815555,5871.115262004599,5643.317382268887,5772.278452063162,7203.05178358,5337.953312612895,8.507415320198056,72.7109423148986,1292.3211161169424,1091.931966128761,1361.5584427048498,1260.12078887168
2017-10-29 09:00:00,6140.659502414504,6304.042023257604,5679.470417372479,5729.509015871113,17891.40386766,5480.102047475697,10.204604926195316,87.66763657305728,1260.7498634917683,1551.4468396292168,1387.6416018620475,1681.2835684767206
2017-10-30 09:00:00,6120.058026601719,6232.292319683362,6024.826311396598,6133.01,11048.33069613,5598.718120744778,10.08214302419352,86.02507323029477,1673.4434504113087,1329.1188541469828,1710.3915851088905,1527.140087380661
2017-10-31 09:00:00,6437.124212040538,6454.661988423587,6075.562255136583,6120.052635993785,14935.08347551,5773.41893153247,11.533580708668424,97.25303519169574,1529.6012564211867,1524.89450543136,1639.2511218997106,1802.1551184301284
2017-11-01 09:00:00,6743.007817581919,6758.455257459639,6339.782279500563,6437.531076162709,14642.83730438,5967.312609322029,13.05521776195593,108.16824602676388,1803.4694551574953,1727.9830031587762,1839.1910719662537,1979.291211213299
2017-11-02 09:00:00,7029.135503695976,7349.43241017488,6698.714471563877,6745.811317061674,29018.26199752,6080.500608539278,13.713636105847208,118.14333147763318,1982.522946798678,2169.360729939389,2079.6415386919525,2112.814803798974
2017-11-03 09:00:00,7143.460162760434,7483.754795776225,6924.985297713283,7027.91833872728,17891.28138884,6290.179380432461,14.010694938590674,121.14112974188356,2111.0683168888277,2032.8541257345023,2139.8909473742206,2066.9317371451775
2017-11-04 09:00:00,7384.640070482953,7558.163181053539,6981.723268900902,7141.250722432099,10599.30638544,6526.1455012592,14.169657571144256,128.76241488348205,2065.1141689551077,1952.0067774880908,2051.507992473108,2195.5832198649214
2017-11-05 09:00:00,7369.509898069542,7590.028961583639,7275.607166851375,7385.138523534895,10426.15922776,6705.915476157165,13.915197051136303,126.22222730387512,2197.012167893666,1875.0770286829575,2254.5969240041895,2039.604034239287
2017-11-06 09:00:00,6967.047906096386,7419.685185886948,6920.726382403298,7370.942189407157,21086.14801846,6817.071968278684,11.74661477785714,108.148069258953,2041.30839772568,1628.1023681581219,1751.4662782579808,1570.1187133440328
2017-11-07 09:00:00,7122.983154385251,7239.600714562176,6940.153061487788,6969.191020323909,13074.52479051,6907.340500856911,12.262051820209834,111.65440141978252,1572.0546383684273,1456.176425340007,1808.1716936155644,1805.8225706161732
2017-11-08 09:00:00,7435.201798889198,7875.892714043902,7035.98434524474,7125.08109160887,27502.0193516,7044.961492968847,13.124269412413199,121.79141533160237,1807.300958418336,2135.061113459764,1884.3142867033257,2073.331207137023
2017-11-09 09:00:00,7140.213675910443,7478.780182902858,7055.910657654204,7446.5072310143705,16712.664080040002,7021.633874580452,10.930098319889339,108.31272184212503,2083.8431942201814,1512.2455681059055,1853.2282455237955,1654.2406379405547
