date,price,price_high,price_low,price_open
2017-11-06 09:00:00,6967.047906096386,7419.685185886948,6920.726382403298,7370.942189407157
2017-11-07 09:00:00,7122.983154385251,7239.600714562176,6940.153061487788,6969.191020323909
2017-11-08 09:00:00,7435.201798889198,7875.892714043902,7035.98434524474,7125.08109160887
2017-11-09 09:00:00,7140.213675910443,7478.780182902858,7055.910657654204,7446.5072310143705
2017-11-10 09:00:00,6579.331958589342,7336.2857194574835,6410.433055871168,7142.806942790428
2017-11-11 09:00:00,6337.998283002852,6816.573034081784,6199.63569580611,6574.923462447156
2017-11-12 09:00:00,5863.397331910287,6505.462118652178,5528.460702706398,6342.195195427778
2017-11-13 09:00:00,6519.968563756495,6768.869830531573,5833.166919467489,5867.385335982307
2017-11-14 09:00:00,6605.798935717354,6743.880235235,6452.214965425489,6519.165081640948
2017-11-15 09:00:00,7288.852842170754,7345.037964272881,6605.850061550919,6605.850061550919
2017-11-16 09:00:00,7848.853255877519,7972.818911987801,7116.008920974528,7288.186387596166
2017-11-17 09:00:00,7679.431859729658,7995.531616618295,7514.275035989729,7852.470108639848
2017-11-18 09:00:00,7767.8437542633765,7844.676655616171,7428.19601932592,7676.756115637016
2017-11-19 09:00:00,8023.3839120962275,8098.721617789211,7667.163748300004,7771.22687938237
2017-11-20 09:00:00,8221.60567143632,8286.095605376433,7917.394053806547,8029.635203718136
2017-11-21 09:00:00,8101.282323973002,8365.811846529265,7777.727431761247,8222.737437305128
2017-11-22 09:00:00,8212.015291978834,8314.485759129937,8059.584916145888,8093.9395663755095
2017-11-23 09:00:00,7999.656332903737,8272.965255302424,7986.877271961109,8220.996458388336
2017-11-24 09:00:00,8179.48763958427,8349.337611571435,7867.628348246299,7998.944804649318
2017-11-25 09:00:00,8713.137134923538,8736.400814211916,8108.091791068146,8183.4090705644085
2017-11-26 09:00:00,9234.369041847007,9362.341960952603,8555.26293719475,8713.39310956077
2017-11-27 09:00:00,9693.313922098192,9704.56800805683,9227.623354026797,9240.622164587674
2017-11-28 09:00:00,9877.348537165364,9959.160558334683,9578.668502083881,9690.362828169367
2017-11-29 09:00:00,9785.636887185285,11367.895289298145,9041.655903839604,9883.09831901703
2017-11-30 09:00:00,9918.357773396587,10694.249409037326,8959.770175611911,9794.381548309175
2017-12-01 09:00:00,10825.017990509568,10935.95392320817,9372.766153391234,9903.040850384772
2017-12-02 09:00:00,10878.11615559905,11196.604022432512,10631.682515683113,10818.236910731053
2017-12-03 09:00:00,11226.907417242448,11806.832126056403,10509.567395802229,10883.053574421107
2017-12-04 09:00:00,11604.380708943203,11609.736597178973,10837.75796974681,11228.425972101722
2017-12-05 09:00:00,11684.323140410343,11850.95560770905,11404.454732328319,11599.6787506372
2017-12-06 09:00:00,13604.902558854208,13678.536350089467,11661.263488220866,11682.813569044973
2017-12-07 09:00:00,16599.767242600952,16623.346756649935,13077.822231690956,13604.551637223994
2017-12-08 09:00:00,15832.676320290428,16886.54304377433,13699.954433253455,16599.585630536407
2017-12-09 09:00:00,14629.655087630996,16122.055078848785,12625.288106193351,15836.434638179253
2017-12-10 09:00:00,14789.720119656575,15543.30742893727,12707.253053214768,14630.770587321103
2017-12-11 09:00:00,16519.093320069504,17353.23017728152,14770.362021957797,14797.22083677327
